date,city,permit_type,permit_number,address,description
2015-10-05,houston,New Single Family Dwelling,2378,7088  GREENWAY CHASE ST,"Project: NEW TOWNHOUSE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-12,houston,New Single Family Dwelling,2379,5317  GOLD ST,"Project: 1 STORY S.F. RES - NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-07,houston,New Single Family Dwelling,2380,5407  GOLD ST,"Project: 1 STORY S.F. RES - NO GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-11,houston,New Single Family Dwelling,2381,2703  KINGS RETREAT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-2795 CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-11,houston,New Single Family Dwelling,2382,2701  KINGS RETREAT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-2800 CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-24,houston,New Single Family Dwelling,2383,6319  BROOKFIELD DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-05,houston,New Single Family Dwelling,2384,6038  BLOSSOM ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-14,houston,New Single Family Dwelling,2385,2545  CALUMET ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) MST OF 4 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-14,houston,New Single Family Dwelling,2386,2551  CALUMET ST,"Project: S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 15021769 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-14,houston,New Single Family Dwelling,2387,2549  CALUMET ST,"Project: S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 15021769 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-14,houston,New Single Family Dwelling,2388,2547  CALUMET ST,"Project: S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 15021769 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-15,houston,New Single Family Dwelling,2389,5203  LAMONTE LN,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-21,houston,New Single Family Dwelling,2390,2211  ALBANS RD,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-16,houston,New Single Family Dwelling,2391,1514  LYNNVIEW DR,"Project: 2 STORY S.F. RES W/ ATT GAR (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-25,houston,New Single Family Dwelling,2392,5325  AVENUE J,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-10,houston,New Single Family Dwelling,2393,7306  SCHILLER ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-08-19,houston,New Single Family Dwelling,2394,11246  HIRSCH RD,"Project: NEW S.F. RESIDENCE W/ DET GARAGE (1-1-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2395,12257  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9002K CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2396,12247  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9002K CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2397,12245  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9004K CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2398,12255  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9004K CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2399,12259  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9004K AK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-09,houston,New Single Family Dwelling,2400,12279  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9003K CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2401,12249  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9003K AK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2402,12251  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9001K CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2403,12253  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9000K CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-28,houston,New Single Family Dwelling,2404,12261  OXFORD CRESCENT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-9001K CK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-06,houston,New Single Family Dwelling,2405,5407  CHENEVERT ST,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-02,houston,New Single Family Dwelling,2406,2318  GARDENIA DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-14,houston,New Single Family Dwelling,2407,2004  LOU ELLEN LN,"Project: 3 STORY S.F. RES W/ ATT GAR (1-3-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-07-14,houston,New Single Family Dwelling,2408,2004  LOU ELLEN LN,"Project: 3 STORY RES W/ ATT GAR (1-3-5-R3-B) MST OF 2 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-21,houston,New Single Family Dwelling,2409,2613  RIVER SLATE CT,"Project: NEW S.F. RES W/ ATT GAR (REPEAT N-359 BQ) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-30,houston,New Single Family Dwelling,2410,2825  KINGS RETREAT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT C-121 EK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-30,houston,New Single Family Dwelling,2411,2843  KINGS RETREAT  CIR,"Project: NEW S.F. RES W/ ATT GAR (REPEAT C-221 FK) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-16,houston,New Single Family Dwelling,2412,3710  AMOS ST,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-05-03,houston,New Single Family Dwelling,2413,642  COLUMBIA ST,"Project: S.F. RES & DET GAR W/ SHELL ABOVE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-03-23,houston,New Single Family Dwelling,2414,2127  TANDY PARK WAY,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL 377 C-RT) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-13,houston,New Single Family Dwelling,2415,2102  TANDY PARK WAY,"Project: NEW S.F. RES W/ ATT GAR (REPEAT MDL 383 B-LT) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-08,houston,New Single Family Dwelling,2416,2103  CAMDEN CREEK  LN,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-15,houston,New Single Family Dwelling,2417,12446  NOVA DR,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-13,houston,New Single Family Dwelling,2418,5752  STUEBNER AIRLINE RD,"Project: NEW S.F. RESIDENCE W/ ATT GARAGE (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-06-01,houston,New Single Family Dwelling,2419,1452  GODWIN ST,"Project: 2 STORY S.F. RES W/ DET GAR (1-2-5-R3-B) 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-26,houston,New Single Family Dwelling,2420,1103 W 16TH ST,"Project: NEW S.F. RES W/ ATT GAR (1-3-5-R3-B) MST OF 6 / 06 IRC, Dwellings: 1, Buildings: 1"
2015-04-26,houston,New Single Family Dwelling,2421,1105 W 16TH ST,"Project: S.F. RES W/ ATT GAR (1-3-5-R3-B) M # 15023276 / 06 IRC, Dwellings: 1, Buildings: 1"
